Transaction_ID,Date,Department,Cost_Category,Budgeted_Revenue,Actual_Revenue,Budgeted_Cost,Actual_Cost
FIN-10000,12/04/2024,HR,Travel & Entertainment,$0.00,$0.00,"$48,158.00","$53,917.00"
FIN-10001,21/01/2024,Marketing,Cloud Infrastructure,"$87,194.00","$86,128.00","$54,131.00","$51,037.00"
FIN-10002,10/05/2024,Operations,Software Licenses,$0.00,$0.00,"$12,433.00","$11,867.00"
FIN-10003,03/10/2024,Sales,Office Supplies,"$135,305.00","$136,309.00","$37,480.00","$37,006.00"
FIN-10004,28/02/2024,Marketing,Office Supplies,"$52,747.00","$50,632.00","$10,189.00","$9,447.00"
FIN-10005,16/07/2025,HR,Office Supplies,$0.00,$0.00,"$41,551.00","$43,214.00"
FIN-10006,29/04/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$24,502.00","$22,149.00"
FIN-10007,23/08/2025,HR,Advertising,$0.00,$0.00,"$18,433.00","$18,721.00"
FIN-10008,11/12/2024,Operations,Software Licenses,$0.00,$0.00,"$33,483.00","$31,360.00"
FIN-10009,23/05/2025,Engineering,Advertising,$0.00,$0.00,"$45,920.00","$44,892.00"
FIN-10010,22/01/2025,Marketing,Advertising,"$127,189.00","$116,045.00","$50,757.00","$46,158.00"
FIN-10011,05/02/2025,Marketing,Office Supplies,"$115,697.00","$112,057.00","$43,763.00","$47,236.00"
FIN-10012,27/09/2024,HR,Payroll,$0.00,$0.00,"$34,253.00","$34,170.00"
FIN-10013,03/12/2024,Operations,Software Licenses,$0.00,$0.00,"$31,243.00","$33,808.00"
FIN-10014,07/05/2025,Sales,Travel & Entertainment,"$101,214.00","$91,050.00","$58,984.00","$70,548.00"
FIN-10015,09/12/2024,Sales,Office Supplies,"$52,695.00","$44,878.00","$15,258.00","$14,642.00"
FIN-10016,26/01/2025,Engineering,Cloud Infrastructure,$0.00,$0.00,"$22,666.00","$20,902.00"
FIN-10017,18/08/2024,Marketing,Payroll,"$102,251.00","$113,389.00","$40,535.00","$41,947.00"
FIN-10018,02/02/2024,Operations,Cloud Infrastructure,$0.00,$0.00,"$29,115.00","$31,772.00"
FIN-10019,30/06/2025,Sales,Cloud Infrastructure,"$58,110.00","$61,827.00","$27,412.00","$29,286.00"
FIN-10020,01/02/2025,Engineering,Payroll,$0.00,$0.00,"$10,206.00","$10,494.00"
FIN-10021,07/07/2025,HR,Travel & Entertainment,$0.00,$0.00,"$58,702.00","$68,606.00"
FIN-10022,28/08/2024,HR,Travel & Entertainment,$0.00,$0.00,"$55,151.00","$61,143.00"
FIN-10023,29/04/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$43,827.00","$51,841.00"
FIN-10024,29/11/2025,Engineering,Advertising,$0.00,$0.00,"$32,299.00","$38,077.00"
FIN-10025,10/07/2025,Sales,Travel & Entertainment,"$52,693.00","$52,005.00","$56,699.00","$54,202.00"
FIN-10026,26/11/2024,Marketing,Office Supplies,"$71,976.00","$68,046.00","$33,776.00","$33,155.00"
FIN-10027,09/10/2024,Sales,Office Supplies,"$105,016.00","$98,865.00","$31,959.00","$33,883.00"
FIN-10028,13/11/2024,Operations,Payroll,$0.00,$0.00,"$42,562.00","$41,745.00"
FIN-10029,25/10/2025,Engineering,Advertising,$0.00,$0.00,"$40,303.00","$43,020.00"
FIN-10030,22/11/2025,Sales,Advertising,"$96,576.00","$89,446.00","$27,675.00","$26,997.00"
FIN-10031,20/01/2025,Engineering,Payroll,$0.00,$0.00,"$11,636.00","$11,466.00"
FIN-10032,21/03/2024,Engineering,Payroll,$0.00,$0.00,"$38,673.00","$40,637.00"
FIN-10033,19/07/2025,Operations,Payroll,$0.00,$0.00,"$56,717.00","$53,510.00"
FIN-10034,14/11/2025,Marketing,Advertising,"$137,455.00","$141,277.00","$42,970.00","$43,438.00"
FIN-10035,04/02/2025,Operations,Office Supplies,$0.00,$0.00,"$50,545.00","$55,097.00"
FIN-10036,25/05/2025,Sales,Payroll,"$92,107.00","$92,333.00","$25,708.00","$29,757.00"
FIN-10037,06/02/2025,Marketing,Cloud Infrastructure,"$145,742.00","$133,783.00","$12,911.00","$11,992.00"
FIN-10038,03/05/2025,Sales,Software Licenses,"$61,111.00","$54,465.00","$18,155.00","$20,343.00"
FIN-10039,30/05/2024,Marketing,Cloud Infrastructure,"$66,646.00","$69,844.00","$41,065.00","$49,058.00"
FIN-10040,25/07/2025,Sales,Software Licenses,"$81,616.00","$71,653.00","$30,932.00","$36,194.00"
FIN-10041,09/01/2024,Sales,Cloud Infrastructure,"$92,642.00","$98,921.00","$11,154.00","$12,904.00"
FIN-10042,23/02/2024,Sales,Office Supplies,"$62,874.00","$71,091.00","$15,539.00","$18,173.00"
FIN-10043,10/09/2024,Engineering,Advertising,$0.00,$0.00,"$48,360.00","$53,150.00"
FIN-10044,03/12/2024,Marketing,Advertising,"$111,135.00","$127,620.00","$38,643.00","$43,034.00"
